model_name,accuracy,f1_score,precision,recall,params_count,model_size_kb,int8_size_kb,inference_time_ms,estimated_rp2040_time_ms,ram_usage_kb,training_time_s
MicroPizzaNet (ReLU),8.333333333333332,0.08333333333333333,0.08333333333333333,0.08333333333333333,582,2.53515625,0.6337890625,0.1293492317199707,4.527223110198975,102.0947265625,5.929229736328125
MicroPizzaNet (Hard-Swish),25.0,0.11538461538461538,0.075,0.25,582,2.53515625,0.6337890625,0.17639636993408203,6.173872947692872,102.0947265625,5.939321279525757
