model_name,accuracy,f1_score,precision,recall,params_count,model_size_kb,int8_size_kb,inference_time_ms,estimated_rp2040_time_ms,ram_usage_kb,training_time_s
MicroPizzaNet (Baseline),8.333333333333332,0.05,0.03571428571428571,0.08333333333333333,1430,6.23046875,1.5576171875,0.3177022933959961,3.177022933959961,124.4560546875,5.837355375289917
MCUNet,0.0,0.0,0.0,0.0,2526,11.16015625,2.7900390625,1.3335990905761719,13.33599090576172,394.4384765625,4.3755083084106445
MobilePizzaNet,16.666666666666664,0.15000000000000002,0.1527777777777778,0.3333333333333333,6086,27.26953125,6.8173828125,0.7933425903320312,7.933425903320312,882.1533203125,5.835921287536621
