Designator,Mid X,Mid Y,Layer,Rotation
U1,25.0000,25.0000,T,0
U2,40.0000,25.0000,T,0
J1,25.0000,5.0000,T,0
Y1,15.0000,35.0000,T,0
C1,15.0000,25.0000,T,0
C2,35.0000,25.0000,T,0
SW1,25.0000,50.0000,T,0
D1,10.0000,50.0000,T,0
R1,10.0000,60.0000,T,0
