Designator,Mid X,Mid Y,Layer,Rotation
U1,25.0000,25.0000,Top,0.00
U2,40.0000,25.0000,Top,0.00
J1,25.0000,5.0000,Top,180.00
Y1,15.0000,35.0000,Top,0.00
C1,15.0000,25.0000,Top,0.00
C2,35.0000,25.0000,Top,0.00
SW1,25.0000,50.0000,Top,0.00
D1,10.0000,50.0000,Top,180.00
R1,10.0000,60.0000,Top,0.00
