timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/06/08 13:46:31.960, 33 %, 482 MiB, 12288 MiB, 45, 21.24 W
2025/06/08 13:46:41.972, 10 %, 617 MiB, 12288 MiB, 47, 40.85 W
2025/06/08 13:46:51.973, 2 %, 615 MiB, 12288 MiB, 47, 39.37 W
2025/06/08 13:47:01.974, 3 %, 594 MiB, 12288 MiB, 48, 38.98 W
2025/06/08 13:47:11.975, 1 %, 589 MiB, 12288 MiB, 48, 39.48 W
2025/06/08 13:47:21.975, 3 %, 589 MiB, 12288 MiB, 49, 39.68 W
2025/06/08 13:47:31.976, 1 %, 596 MiB, 12288 MiB, 50, 39.98 W
2025/06/08 13:47:41.977, 4 %, 632 MiB, 12288 MiB, 50, 40.92 W
