model_name,accuracy,f1_score,precision,recall,params_count,model_size_kb,int8_size_kb,inference_time_ms,estimated_rp2040_time_ms,ram_usage_kb,training_time_s
MicroPizzaNet (Baseline),8.333333333333332,0.041666666666666664,0.022727272727272728,0.25,1430,6.23046875,1.5576171875,0.5323028564453125,5.323028564453124,124.4560546875,5.648346185684204
MCUNet,0.0,0.0,0.0,0.0,2526,11.16015625,2.7900390625,0.5184698104858398,5.1846981048583975,394.4384765625,5.69845724105835
MobilePizzaNet,0.0,0.0,0.0,0.0,6086,27.26953125,6.8173828125,0.7181596755981445,7.181596755981445,882.1533203125,1.179337501525879
