timestamp,cpu_percent,memory_percent,disk_usage
2025-06-08 14:49:39,7.9,40.2,93
2025-06-08 14:50:09,7.9,40.3,93
2025-06-08 14:50:39,9.0,40.3,93
2025-06-08 14:51:09,8.4,40.2,93
2025-06-08 14:51:39,11.3,40.1,93
2025-06-08 14:52:10,9.0,40.3,93
2025-06-08 14:52:40,8.5,40.3,93
2025-06-08 14:53:10,8.8,40.4,93
2025-06-08 14:53:40,8.0,40.4,93
2025-06-08 14:54:11,8.2,40.3,93
2025-06-08 14:54:41,7.7,40.2,93
2025-06-08 14:55:11,7.9,40.4,93
2025-06-08 14:55:41,8.2,40.4,93
2025-06-08 14:56:11,9.0,40.3,93
2025-06-08 14:56:42,8.9,40.5,93
2025-06-08 14:57:12,8.9,40.5,93
2025-06-08 14:57:42,7.6,40.8,93
2025-06-08 14:58:12,8.2,40.5,93
2025-06-08 14:58:43,8.3,40.5,93
2025-06-08 14:59:13,15.7,41.6,93
2025-06-08 14:59:43,7.8,40.3,93
2025-06-08 15:00:13,11.8,41.5,93
2025-06-08 15:00:43,8.4,40.3,93
2025-06-08 15:01:14,7.7,41.6,93
2025-06-08 15:01:44,8.8,40.4,93
2025-06-08 15:02:14,7.1,41.0,93
2025-06-08 15:02:44,8.8,40.4,93
2025-06-08 15:03:15,8.4,41.4,93
2025-06-08 15:03:45,11.6,40.4,93
2025-06-08 15:04:15,8.9,41.6,93
2025-06-08 15:04:45,13.1,40.4,93
2025-06-08 15:05:15,9.4,40.9,93
2025-06-08 15:05:46,9.5,40.5,93
2025-06-08 15:06:16,8.3,41.1,93
2025-06-08 15:06:46,8.9,40.6,93
2025-06-08 15:07:16,8.8,41.5,93
2025-06-08 15:07:46,6.6,40.8,93
2025-06-08 15:08:17,7.7,41.0,93
2025-06-08 15:08:47,8.8,40.4,93
2025-06-08 15:09:17,8.1,41.3,93
2025-06-08 15:09:47,9.8,40.3,93
2025-06-08 15:10:18,7.7,40.7,93
2025-06-08 15:10:48,9.2,40.2,93
2025-06-08 15:11:18,7.7,40.4,93
2025-06-08 15:11:48,7.8,40.5,93
2025-06-08 15:12:18,7.8,40.9,93
2025-06-08 15:12:49,9.2,40.4,93
2025-06-08 15:13:19,8.9,40.8,93
2025-06-08 15:13:49,7.2,40.6,93
2025-06-08 15:14:19,8.7,40.4,93
2025-06-08 15:14:50,8.8,40.3,93
2025-06-08 15:15:20,11.2,41.1,93
2025-06-08 15:15:50,7.2,40.6,93
2025-06-08 15:16:20,9.0,40.5,93
2025-06-08 15:16:50,8.1,40.3,93
2025-06-08 15:17:21,8.8,40.8,93
2025-06-08 15:17:51,8.3,40.3,93
2025-06-08 15:18:21,10.2,40.5,93
2025-06-08 15:18:51,7.7,40.5,93
2025-06-08 15:19:22,7.8,40.8,93
2025-06-08 15:19:52,9.0,40.6,93
2025-06-08 15:20:22,8.7,40.9,93
2025-06-08 15:20:52,7.2,40.4,93
2025-06-08 15:21:22,7.7,40.7,93
2025-06-08 15:21:53,8.9,40.2,93
2025-06-08 15:22:23,8.4,40.8,93
2025-06-08 15:22:53,8.8,40.5,93
2025-06-08 15:23:23,7.9,40.4,93
2025-06-08 15:23:54,7.8,40.6,93
2025-06-08 15:24:24,7.1,40.6,93
2025-06-08 15:24:54,8.1,40.6,93
2025-06-08 15:25:24,9.5,40.3,93
2025-06-08 15:25:54,8.9,40.4,93
2025-06-08 15:26:25,8.8,40.3,93
2025-06-08 15:26:55,8.8,40.2,93
2025-06-08 15:27:25,7.8,40.7,93
2025-06-08 15:27:55,8.2,40.3,93
2025-06-08 15:28:25,9.8,40.4,93
2025-06-08 15:28:56,9.4,40.4,93
2025-06-08 15:29:26,8.9,40.6,93
2025-06-08 15:29:56,7.8,40.6,93
2025-06-08 15:30:26,11.2,40.3,93
2025-06-08 15:30:57,8.8,40.5,93
2025-06-08 15:31:27,8.3,40.7,93
2025-06-08 15:31:57,7.0,40.4,93
2025-06-08 15:32:27,7.8,40.6,93
2025-06-08 15:32:57,8.9,40.5,93
2025-06-08 15:33:28,8.3,40.6,93
2025-06-08 15:33:58,7.9,40.3,93
2025-06-08 15:34:28,9.4,40.3,93
2025-06-08 15:34:58,9.5,40.5,93
2025-06-08 15:35:29,8.9,40.5,93
2025-06-08 15:35:59,12.0,40.6,93
2025-06-08 15:36:29,9.0,40.9,93
2025-06-08 15:36:59,11.3,40.6,93
2025-06-08 15:37:29,9.9,40.6,93
2025-06-08 15:38:00,11.6,41.0,93
2025-06-08 15:38:30,10.7,40.8,93
2025-06-08 15:39:00,12.0,40.8,93
2025-06-08 15:39:30,10.3,40.7,93
2025-06-08 15:40:01,12.7,41.0,93
2025-06-08 15:40:31,10.1,41.1,93
2025-06-08 15:41:01,10.3,40.8,93
2025-06-08 15:41:31,10.6,40.7,93
