model_name,accuracy,f1_score,precision,recall,params_count,model_size_kb,int8_size_kb,inference_time_ms,estimated_rp2040_time_ms,ram_usage_kb,training_time_s
MicroPizzaNet (Original),8.333333333333332,0.125,0.25,0.08333333333333333,582,2.53515625,0.6337890625,0.12683629989624023,4.439270496368408,102.0947265625,5.8528077602386475
MicroPizzaNetWithSE (SE-Ratio=4),0.0,0.0,0.0,0.0,742,3.16015625,0.7900390625,0.23471593856811523,8.215057849884035,102.4853515625,5.895447731018066
MicroPizzaNetWithSE (SE-Ratio=8),25.0,0.10000000000000002,0.0625,0.25,662,2.84765625,0.7119140625,0.22212505340576172,7.77437686920166,102.3837890625,6.081669807434082
